denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1854,Philadelphia,138.618,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1854,Dahlonega,1.120,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1854,New Orleans,24.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1855,Philadelphia,50.555,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1855,San Francisco,6.600,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1856,Philadelphia,26.100,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1856,San Francisco,34.500,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1857,Philadelphia,20.891,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1857,San Francisco,14.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1858,Philadelphia,2.133,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1859,Philadelphia,15.558,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1860,Philadelphia,7.036,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1860,San Francisco,4.408,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1861,Philadelphia,5.959,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1862,Philadelphia,5.750,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1863,Philadelphia,5.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1864,Philadelphia,2.630,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1865,Philadelphia,1.140,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1866,Philadelphia,4.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1867,Philadelphia,2.600,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1868,Philadelphia,4.850,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1869,Philadelphia,2.500,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1870,Philadelphia,3.500,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1870,San Francisco,2,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1871,Philadelphia,1.300,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1872,Philadelphia,2.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1873,Philadelphia,100,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1874,Philadelphia,41.800,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1875,Philadelphia,0,Only as Proof
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1876,Philadelphia,0,Only as Proof
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1877,Philadelphia,1.468,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1878,Philadelphia,82.304,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1879,Philadelphia,3.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1880,Philadelphia,1.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1881,Philadelphia,500,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1882,Philadelphia,1.500,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1883,Philadelphia,900,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1884,Philadelphia,1.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1885,Philadelphia,801,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1886,Philadelphia,1.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1887,Philadelphia,6.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1888,Philadelphia,5.000,
3 $,Gold 3$,20.50,5.01,90Goldand10Copper,1889,Philadelphia,2.300,
